Algorithm,Author,Calls I1,Cost I1,Calls I2,Cost I2,Calls I3,Cost I3,Calls I4,Cost I4,Calls I5,Cost I5,Calls I6,Cost I6
Simulated Annealing Possible Double Tweak,s331394,994740,295,1014713,7464,1034712,130384,1054712,81199577,1074712,175851469,1094710,271115525
Simulated Annealing Algorithm,s331080,20001,257,4953,6279,4186,132613,4135,82068324,4135,180398187,4135,280418865
Memory Based Search (Tabu Search),s328715,10003,0,10003,6553,10003,488737,10003,74589768,10003,165023971,10003,252124228
Self adaptive Hill Climber,s333304,294986,286,314988,7412,334990,128212,354992,16506708,374994,34892582,394996,57611475
Hill Climber with multiple mutations strenght,s332145,1004,276,1029,7219,1309,834219,1462,113050981,1471,243360875,1490,382611204
Hill Neighbor Climber,s308810,3002,286,9631,6348,21714,131593,24002,2009895,24002,2319999,24002,2610023
Random Mutation Hill Climber,s323502,302,233,7302,6816,31551,124403,3996,112102594,3964,242636036,3932,378283182
Simulated Annealing ,s335276,785,312,785,6075,761,127680,761,2309919,761,2421798,785,2358898
Lazy Tweak Algorithm,s333957,1002,316,1002,7603,10002,137692,100002,1960049,100002,2100487,100002,2188389
Probabilistic Step Hill Climber,s308809,64755,286,63005,10587,64996,117930,65003,1905042,65005,1986852,65005,2095641
Hill climbing with multiple mutations,s323914,1,292,19,7689,292,741479,435,112751635,489,238795309,474,370743077
Tabu trekker,s330519,5,288,81074,6340,99888,203259,99990,16253593,99989,34544278,99993,55760784
Annealing with Multi tweak,s328928,2002,260,1745,6435,5688,464499,5691,91403416,1451,233106459,1470,356405510
Greedy start RHMC,s328914,10014,267,10104,6975,11004,131033,20004,2109729,20004,1928968,20004,2152153
Multiple Mutation Random Hill Climber,s333968,5004,257,5004,6744,5004,507423,5004,67306872,5004,150918307,5004,227712814
Set busters: Adaptive Greedy Edition,s326522,10015,270,10051,7407,10456,137111,13119,44188974,13033,92784643,13080,145822753
Hill climbing with strength,s343668,4,0,23,7573,24,1080322,30,73846136,35,163264770,17,250857283
Restart Annealing with range fitness,s318684,5004,274,5004,7091,5004,120035,5004,2787985,5004,3768514,5004,4874291
Bob the climber,s333279,503,250,7003,5612,52234,109067,67828,1850311,62931,1922070,23018,2073402
Simulated annealling with range fitness,s334148,20000,257,5040,6357,4194,136068,4135,84203535,4135,183172830,4135,278229380
Climbing day,s329502,4,288,4,3609,19506,127434,20004,73592698,20004,73592698,20004,111518807
simple + annealling,s326994,50102,316,60196,6405,30471,127352,43515,45006049,56505,96123691,69569,148407791
Multiple RMHC with better tweak,s328174,30000,24,30000,5332,10000,128273,10000,9533741,10000,202046181,10000,316753946
The Wise climber,s328890,162,264,41199,6039,15671,656510,43612,94060288,43376,200449552,41182,311108064
HC + annealing,s329169,50120,320,60232,6611,30468,127354,43500,44998047,56511,96122785,69678,148406345
Tabu search counter,s324286,10000,292,10000,6985,10000,826980,10000,122338481,10000,262233908,10000,408542986
Hill Climber with tabu search,s328899,5,294,3904,6278,4591,128606,29986,11931188,29992,43322511,29998,68865682
Simulated Annealing Algorithm,s328854,1000,268,1010,6385,3545,544987,15001,95412406,20455,232774365,23201,350662620
Steepest ascent climb,s328373,226,278,2206,7558,22006,134226,,,,,222006,
Simple Random Mutation,s328470,100,250,1000,7096,10000,135901,10000,93383171,10000,195554976,10000,308551303
hill_climb,s334964,0,233,146,6553,1880,130436,,,,,,
Multiple mutation RMHC with simulated annealing,s331578,7022,0,7788,6461,8367,797247,3582,112473113,3581,248481565,3591,373065622
Random Hike,s329131,162432,255,353186,5826,39218,123420,45016,89300184,45016,190325413,45016,301970292
Steepest step and Restart,s331345,127,264,1053,7751,1218,1543330,1203,119780282,1206,258450869,1203,402569026
GreedyCoverOptimizer,s328989,2,295,64,7533,98,159258,101,2321521,99,2583800,100,2648297
Random Mutation Set Cover,s334009,1001,183,1001,7152,1001,1344882,1001,110303900,1001,249096842,1001,394744522
Greedy algorithm,s332775,1,291,78,6846,968,130207,101,1856647,101,2163111,101,2067542
Simulated Annealing,s324581,2001,279,2001,6708,2001,1131628,2001,107483212,2001,227458975,2001,359460786
Random Hike ,s331482,162432,255,353186,5826,39218,123420,45016,89300184,45016,190325413,45016,301970292
sad annealing,s331553,10002,0,10002,6987,10002,132447,10002,46679504,10002,101555933,10002,154435719
Pseudo-random RMHC,s319991,255,254.9091,6548,10326.0617,22025,183182.3254,22224,2415922.122,23058,2585180.216,55878,413672179.9
AnnA - the annealing Algorithm,s323001,1000,265,1548,6998,3483,554857,14001,95410222,23568,232344456,23508,350555618
Greedy Gone Tabu,s332968,11,279,994,5685,9991,104339,99991,1522665,9991,1839038,99991,1779977
RMHC dynamic steps,s320114,5,279,1607,7901,2005,1516128,2005,227328504,2005,486759531,2005,761270104
